X,Y,Name,description,ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,ADDRESSTYPE,HYPERLINK,LANDXADDRESSPOINT,LANDYADDRESSPOINT,PHOTOURL,ADDRESSFLOORNUMBER,INC_CRC,FMEL_UPD_D,ADDRESSUNITNUMBER
103.8554112,1.299113161,McDonald's - Bugis Junction,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",230,Bugis Junction,188021,Victoria Street,Q,,0,0,,1,3D7EAAAA39C1DB1D,2.02E+13,K5
103.8552422,1.300898845,McDonald's - Bugis Village,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",151,Bugis Village,188426,Rochor Road,Q,,0,0,,1,282EA180C3E340F1,2.02E+13,"42,43"
103.7505387,1.34941218,McDonald's - Bukit Batok,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",632,,650632,Bukit Batok Central,Q,,0,0,,1,3B263E957208A014,2.02E+13,10
103.7442573,1.34830189,McDonald's - Bukit Batok West,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",152,,650152,Bukit Batok Street 11,Q,,0,0,,1,A08E51C9B4792515,2.02E+13,451
103.7507197,1.358099272,McDonald's - Bukit Gombak,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",374,,650374,Bukit Batok Street 31,Q,,0,0,,1,84E60DC6E96C3F14,2.02E+13,27
103.7639619,1.380517328,McDonald's - Bukit Panjang Plaza,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",1,Bukit Panjang Plaza,677743,Jelebu Road,Q,,0,0,,2,E998469201100996,2.02E+13,"24,25"
103.7856887,1.436007845,McDonald's - Causeway Point,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",1,Causeway Point,738099,Woodlands Square,Q,,0,0,,1,997DF23DCAE7783F,2.02E+13,9
103.988751,1.35519094,McDonald's - Changi Airport T2,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",60,Changi Airport Terminal 2,819643,"Airport Boulevard, Changi Airport Terminal 2Â  Mezzanine Level Arrival Meeting",Q,,0,0,,M016,51DD7FDD0478E07E,2.02E+13,41
103.988751,1.35519094,McDonald's - Changi Airport T2 Transit Lounge,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",60,Changi Airport Terminal 2,819643,"Airport Boulevard, Changi Airport Terminal 2Â  Departure, Transit Lounge Central",Q,,0,0,,36,51DD7FDDD0883370,2.02E+13,151
103.9851697,1.354370736,McDonald's - Changi Airport T3,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",65,Changi Airport Terminal 3,819663,"Airport Boulevard, Changi Airport Terminal 3Â Arrival Meeting Hall South",Q,,0,0,,1,1A6E905C5CFC4298,2.02E+13,9
103.9834828,1.338008134,McDonald's - Changi Airport T4,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",10,Changi Airport Terminal 4,819665,"Airport Boulevard, Changi Airport Terminal 4Â Mezzanie Departure , Check-in Hall",Q,,0,0,,2,2C7925A54FED2A90,2.02E+13,19
103.9623893,1.334325156,McDonald's - Changi City Point,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",5,Changi City Point,486038,Changi Business Park Central 1,Q,,0,0,,1,F775E2BCDA87AFE7,2.02E+13,2
103.8446971,1.284998828,McDonald's - Chinatown Point,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",133,Chinatown Point,59413,New Bridge Road,Q,,0,0,,1,CA38BDBE3501EFD4,2.02E+13,83
103.7449504,1.385068357,McDonald's - Choa Chu Kang 4,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",21,Lot One,689812,Choa Chu Kang Avenue 4,Q,,0,0,,1,E2F44985F0884E32,2.02E+13,
103.7469741,1.397781391,McDonald's - Choa Chu Kang 62,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",624,,680624,Choa Chu Kang Street 62,Q,,0,0,,2,B137D01B61EBE093,2.02E+13,39
103.7473449,1.398321338,McDonald's - Choa Chu Kang 62 (Kiosk),"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",623,,680623,Choa Chu Kang Street 62,Q,,0,0,,1,60F1DA450BA580EF,2.02E+13,2
103.7441391,1.385672711,McDonald's - Choa Chu Kang MRT,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",10,Choa Chu Kang MRT Station,689810,Choa Chu Kang Avenue 4,Q,,0,0,,1,7BAB3F8D6BC897D0,2.02E+13,
103.7430996,1.392073885,McDonald's - Choa Chu Kang Neighbourhood 5,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",533,Limbang Shopping Centre,680533,Choa Chu Kang Street 51,Q,,0,0,,1,4F2767BD0B589FB2,2.02E+13,
103.8292349,1.43083237,McDonald's - Chong Pang CC,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",21,Chong Pang Community Centre,768677,Yishun Ring Road,Q,,0,0,,1,60A8EEFFA585F96A,2.02E+13,2
103.7519039,1.38115529,McDonald's - Chua Chu Kang CC,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",35,Choa Chu Kang Community Centre,688892,Teck Whye Avenue,Q,,0,0,,1,48BFE544A8448B21,2.02E+13,95
103.8564218,1.311305165,McDonald's - City Square Mall,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",180,City Square Mall,208539,Kitchener Road,Q,,0,0,,B1,525075C5CC3613DF,2.02E+13,125
103.7654768,1.31248298,McDonald's - Clementi Ave 3,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",451,,120451,Clementi Avenue 3,Q,,0,0,,1,BABCEEC547CAF03D,2.02E+13,19
103.7642482,1.314853218,McDonald's - Clementi Mall,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",3155,Clementi Mall,129588,Commonwealth Avenue West,Q,,0,0,,1,E9AD0B2D2764E9D2,2.02E+13,"K2,3,4"
103.905996,1.301887334,McDonald's - Parkway,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",1,Parkway Parade,449408,Marine Parade Central Parkway Centre,Q,,0,0,,1,C2B4194A93A1CB4D,2.02E+13,1
103.9497157,1.372449816,McDonald's - Pasir Ris Central,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",1,White Sands Shopping Centre,518457,Pasir Ris Central Street 3,Q,,0,0,,1,F256D986FC5031B5,2.02E+13,"29,30"
